Date,Count
2024-01-01,307
2024-01-02,360
2024-01-03,475
2024-01-04,580
2024-01-05,646
2024-01-06,448
2024-01-07,1013
2024-01-08,2396
2024-01-09,2374
2024-01-10,2428
2024-01-11,2459
2024-01-12,2097
2024-01-13,724
2024-01-14,1055
2024-01-15,1115
2024-01-16,1663
2024-01-17,2345
2024-01-18,2470
2024-01-19,1994
2024-01-20,767
2024-01-21,939
2024-01-22,1708
2024-01-23,2354
2024-01-24,1411
2024-01-25,2380
2024-01-26,2143
2024-01-27,1718
2024-01-28,1581
2024-01-29,2257
2024-01-30,2524
2024-01-31,1224
2024-02-01,2183
2024-02-02,2069
2024-02-03,1494
2024-02-04,394
2024-02-05,1831
2024-02-06,2365
2024-02-07,1165
2024-02-08,2138
2024-02-09,2026
2024-02-10,1420
2024-02-11,1134
2024-02-12,1999
2024-02-13,2237
2024-02-14,1743
2024-02-15,2183
2024-02-16,1879
2024-02-17,593
2024-02-18,780
2024-02-19,453
2024-02-20,1681
2024-02-21,2032
2024-02-22,2219
2024-02-23,2210
2024-02-24,1893
2024-02-25,1503
2024-02-26,2079
2024-02-27,2262
2024-02-28,2240
2024-02-29,1613
2024-03-01,1221
2024-03-02,1073
2024-03-03,994
2024-03-04,1889
2024-03-05,2209
2024-03-06,2231
2024-03-07,2317
2024-03-08,2275
2024-03-09,1605
2024-03-10,1380
2024-03-11,1855
2024-03-12,2048
2024-03-13,2117
2024-03-14,2368
2024-03-15,2028
2024-03-16,2039
2024-03-17,1705
2024-03-18,1706
2024-03-19,1927
2024-03-20,1963
2024-03-21,1769
2024-03-22,1135
2024-03-23,440
2024-03-24,566
2024-03-25,875
2024-03-26,787
2024-03-27,549
2024-03-28,751
2024-03-29,365
2024-03-30,595
2024-03-31,892
2024-04-01,2565
2024-04-02,2630
2024-04-03,2535
2024-04-04,1459
2024-04-05,2008
2024-04-06,1666
2024-04-07,1454
2024-04-08,2341
2024-04-09,2554
2024-04-10,2563
2024-04-11,2600
2024-04-12,2300
2024-04-13,689
2024-04-14,1270
2024-04-15,2455
2024-04-16,2533
2024-04-17,2662
2024-04-18,2793
2024-04-19,2644
2024-04-20,2622
2024-04-21,1729
2024-04-22,2492
2024-04-23,2441
2024-04-24,2451
2024-04-25,2478
2024-04-26,2340
2024-04-27,1756
2024-04-28,1512
2024-04-29,2367
2024-04-30,2634
2024-05-01,2467
2024-05-02,2697
2024-05-03,2583
2024-05-04,950
2024-05-05,1563
2024-05-06,2340
2024-05-07,2642
2024-05-08,2306
2024-05-09,2591
2024-05-10,2509
2024-05-11,1991
2024-05-12,1565
2024-05-13,2334
2024-05-14,2551
2024-05-15,2622
2024-05-16,2645
2024-05-17,2498
2024-05-18,2007
2024-05-19,1586
2024-05-20,2242
2024-05-21,2457
2024-05-22,2666
2024-05-23,2486
2024-05-24,2300
2024-05-25,1411
2024-05-26,1142
2024-05-27,1189
2024-05-28,2478
2024-05-29,2578
2024-05-30,2513
2024-05-31,2364
2024-06-01,1875
2024-06-02,1663
2024-06-03,2267
2024-06-04,2229
2024-06-05,2228
2024-06-06,2373
2024-06-07,2152
2024-06-08,2036
2024-06-09,1665
2024-06-10,2039
2024-06-11,2028
2024-06-12,2206
2024-06-13,2069
2024-06-14,1281
2024-06-15,825
2024-06-16,585
2024-06-17,1016
2024-06-18,979
2024-06-19,849
2024-06-20,1008
2024-06-21,906
2024-06-22,568
2024-06-23,507
2024-06-24,1134
2024-06-25,1240
2024-06-26,1321
2024-06-27,1209
2024-06-28,1061
2024-06-29,650
2024-06-30,516
2024-07-01,977
2024-07-02,947
2024-07-03,917
2024-07-04,440
2024-07-05,727
2024-07-06,586
2024-07-07,507
2024-07-08,1068
2024-07-09,1152
2024-07-10,1217
2024-07-11,941
2024-07-12,856
2024-07-13,777
2024-07-14,603
2024-07-15,1135
2024-07-16,1176
2024-07-17,1290
2024-07-18,1081
2024-07-19,955
2024-07-20,725
2024-07-21,539
2024-07-22,1112
2024-07-23,1087
2024-07-24,1112
2024-07-25,1024
2024-07-26,1050
2024-07-27,780
2024-07-28,640
2024-07-29,1188
2024-07-30,1217
2024-07-31,1359
2024-08-01,1195
2024-08-02,1093
2024-08-03,667
2024-08-04,488
2024-08-05,1119
2024-08-06,1134
2024-08-07,1265
2024-08-08,1074
2024-08-09,1026
2024-08-10,769
2024-08-11,566
2024-08-12,1112
2024-08-13,1176
2024-08-14,1259
2024-08-15,1264
2024-08-16,1123
2024-08-17,827
2024-08-18,596
2024-08-19,1102
2024-08-20,1234
2024-08-21,1165
2024-08-22,1160
2024-08-23,1061
2024-08-24,832
2024-08-25,645
2024-08-26,1079
2024-08-27,1136
2024-08-28,1216
2024-08-29,1132
2024-08-30,1022
2024-08-31,805
2024-09-01,616
2024-09-02,696
2024-09-03,1131
2024-09-04,1170
2024-09-05,1151
2024-09-06,1115
2024-09-07,829
2024-09-08,650
2024-09-09,1151
2024-09-10,1216
2024-09-11,1432
2024-09-12,1255
2024-09-13,1270
2024-09-14,963
2024-09-15,641
2024-09-16,1178
2024-09-17,1297
2024-09-18,1505
2024-09-19,1595
2024-09-20,1595
2024-09-21,1463
2024-09-22,1319
2024-09-23,2043
2024-09-24,2169
2024-09-25,3231
2024-09-26,2955
2024-09-27,2889
2024-09-28,2040
2024-09-29,1665
2024-09-30,3024
2024-10-01,3078
2024-10-02,3136
2024-10-03,3169
2024-10-04,2946
2024-10-05,2174
2024-10-06,1703
2024-10-07,2990
2024-10-08,3187
2024-10-09,3208
2024-10-10,3245
2024-10-11,3030
2024-10-12,2169
2024-10-13,1766
2024-10-14,3024
2024-10-15,3331
2024-10-16,2892
2024-10-17,3266
2024-10-18,2709
2024-10-19,2111
2024-10-20,1690
2024-10-21,3007
2024-10-22,3083
2024-10-23,3218
2024-10-24,3238
2024-10-25,2994
2024-10-26,2159
2024-10-27,1739
2024-10-28,2728
2024-10-29,3087
2024-10-30,2860
2024-10-31,3034
2024-11-01,2420
2024-11-02,1664
2024-11-03,1457
2024-11-04,2780
2024-11-05,2823
2024-11-06,2597
2024-11-07,2713
2024-11-08,2543
2024-11-09,1541
2024-11-10,1354
2024-11-11,977
2024-11-12,2435
2024-11-13,2315
2024-11-14,2302
2024-11-15,2504
2024-11-16,1823
2024-11-17,1500
2024-11-18,2330
2024-11-19,2362
2024-11-20,1111
2024-11-21,1355
2024-11-22,783
2024-11-23,1329
2024-11-24,1331
2024-11-25,1422
2024-11-26,1791
2024-11-27,1205
2024-11-28,330
2024-11-29,384
